Idx,Question,Answer
65,How can we fix the BSOD problem when flashing the BIOS under the OS?,"Modify the following sections in the original code:

# ELINK
#    Name        = ""EmdoorSmiFlashPreUpdate""
#    Parent      = ""SMIFlashPreUpdateList""
#    InvokeOrder = AfterParent
#    Token       = ""EmdoorSmmLib_INF_SUPPORT"" = ""1""
# End

# ELINK
#    Name        = ""EmdoorSmiFlashEndUpdate""
#    Parent      = ""SMIFlashEndUpdateList""
#    InvokeOrder = AfterParent
#    Token       = ""EmdoorSmmLib_INF_SUPPORT"" = ""1""
# End"
66,Fix flash BIOS BSOD problem under OS.? ,Revise the code to configure the Flash BIOS update sequence to prevent BSOD issues occurring under the operating system.
67,How to fix flash BIOS BSOD problem under OS,Revise the code to configure the Flash BIOS update sequence to prevent BSOD issues occurring under the operating system.
68,Why can't the DB card be detected?,"You must modify the following two settings:
1.Set Pcie Dxio Timing ControlEnable to Enabled.
2.Set PCIE Link L0 Polling to 50000"
69,DB card can't be detected ? ,"Pcie Dxio timing ControlEnable set Enabled
PCIE Link L0 Pooling set 50000"
70,"I can't detect the DB card, can you have any good suggestions?","Pcie Dxio timing ControlEnable set Enabled
PCIE Link L0 Pooling set 50000"
71,"Add AI button function, EC Q18 event.",Refer to patch: 2024\AI_Button.zip
72,"AP39 Project Issue: After replacing the 7435 CPU, the system fails to enter Modern Standby.","Because the 7435 CPU does not have an iGPU, and the APX39 uses Smart MUX, the iGPU cannot be turned off.

You need to set iGPU Configuration from 'iGPU Disabled' to 'Auto'"
73,What is AMI VEB?,"AMI VEB (Visual eBIOS) is a BIOS/UEFI development
 tool provided by AMI (American Megatrends Inc.). It is primarily used for BIOS/UEFI firmware development, testing, and debugging, enabling BIOS engineers to quickly configure and modify BIOS settings, thus accelerating the development process."
74,Some dGPU performance is not up to standard.,Set PcdCfgPeApmEnable to 0 in eSetupPhoenix.xml to disable SmartShift.
75,UNICORN custom modify for CBS,Refer to patch: UNICORN custom modify for CBS.7z
76,Add white BIOS support for PI1.0.8.0 for STX,Refer to patch: Add white BIOS support for PI1.0.8.0 for STX.7z
77,How to add white BIOS support?,Refer to patch: Add white BIOS support for PI1.0.8.0 for STX.7z
78,Fixed PI1.0.8.0 LPDDR5 board id boot fail for STX,Refer to patch: Fixed PI1.0.8.0 LPDDR5 board id boot fail for STX.7z
79,Add ABL_DEBUG_SUPPORT switch for STX,Refer to patch: Add ABL_DEBUG_SUPPORT switch for STX.7z
80,Support customize XML path for STX,Refer to patch: Support customize XML path for STX.7z
81,Aquarius Password behavior customizing,Refer to patch: Aquarius Password behavior.zip
82,"When CPU and memory as well as SSD and VGA checks fail, GPIO6 is pulled high to control the LED.",Refer to patch: Check_Device.zip
83,AMI Veb50 above occur Kernel32.lib error.,Refer to patch: AMI Veb50 Kernel32.lib compiler error
84,Kernel32.lib error? ,Refer to patch: AMI Veb50 Kernel32.lib compiler error
85,What is the Kernel32.lib error?,Refer to patch: AMI Veb50 Kernel32.lib compiler error
86,How to disable NPU device?,Set PcdCFGNbioIPUEnable to 0
87,How to enable NPU device? ,Set PcdCFGNbioIPUEnable to 1.
88,Fix WOL issue when MS.,Refer to patch: WOLwhenMS.zip
89,"AKK839 Project Issue: The system hangs at error code 
0xABE4 during boot.","The reason is that the AMI code is intended for 
CRB usage, where the EC is used to determine the Board ID.

For an OEM project, it is necessary to ignore or remove the CRB EC Board ID."
90,How to fix hang up 0xabe4?,JIRA EXT-109402 check whether remove CRB EC board ID
91,AKK839 Side by side DDR5 memory setting,Refer to patch: AKK839_SideBySide_Memory1216.rar
92,AKK839 Fix hang up 0xE2C5.,Refer to patch: AKK839_Fixed hang up E2C5.zip
93,How to fix hang up 0xe2c5?,Refer to patch: AKK839_Fixed hang up E2C5.zip
94,Emdoor WMI include Smart Charger Control,Refer to patch: EMDOOR_WMI_Smart_charger_2.0.zip
95,APX656 PRO APU can't show Firmware protection,"1. BIOS設定:CBS -> SOC Miscellaneous Control -> Microsoft Security Levels -> Pluton fTPM Level 3
2. Install OS Windows 11 24H2
3. run windows update
4. Check Windows Security 
5. Firmware protection item display"
96,How to fix touch pad wake KB backligh?,Refer to patch: TP_WAKE KB_BACKLIGHT.zip
97,ARB656 APU power too low issue.,"RMB平台，如果設定了PPT APU only數值，
就會被啟用影響，APU的瓦數會被PPT APU only數值限制"
98,How to fix the ARB656 APU power too low issue?,"RMB平台，如果設定了PPT APU only數值，
就會被啟用影響，APU的瓦數會被PPT APU only數值限制"
99,Use the touchpad to light up the keyboard LED lights,Refer to patch: TP_WAKE KB_BACKLIGHT.zip
100,Force 10sec Shut down(Power button pullmenu),Refer to patch: \Force_10S_Shutdown.zip
101,How to implement force 10sec shutdown by power button? ,Refer to patch: \Force_10S_Shutdown.zip
102,Force 10sec Shut down? ,Refer to patch: \Force_10S_Shutdown.zip
103,Fixed Smbios Type1 and Type2 as override string by CRB code for STX,Refer to patch: Fixed Smbios Type1 and Type2 as override string by CRB code.7z
104, Patch build error information difficult find,Refer to patch: Patch build error information difficult find.7z
105,Add ML BIOS naming rule,Refer to patch: Add ML BIOS naming rule.7z
106,Why is ml bios naming rule? ,Refer to patch: Add ML BIOS naming rule.7z
107,How to Add ML BIOS naming rule?,Refer to patch: Add ML BIOS naming rule.7z
108,Patch HDMI 4K 60Hz can not display for external panel for STX PS883X HDMI retimer,Refer to patch: Patch HDMI 4K 60Hz can not display for external panel for STX.7z
109,Fixed PBS SETUP value is wrong after flash BIOS for STX.,Refer to patch: Fixed PBS SETUP value is wrong after flash BIOS.7z
110,How to fixed PBS SETUP value is wrong after flash BIOS for STX?,Refer to patch: Fixed PBS SETUP value is wrong after flash BIOS.7z
111,Why is the USB port completely unresponsive?,"Need to cancel the action of USB OC pin. 
Modify the code:
    Name  = ""PcdXhciOcPinSelect"" &    Name  = ""PcdXhci1OcPinSelect""
    Value  = ""0xFFFFFFFF"""
112,"
PI after RMB PI 1.0.0.1 will fail when running Memory Margin.",Need to disable phy low power. (The official version cannot be imported for testing purposes.)
113,Fan Noise Implemen,Refer to patch: FanNoise
114,How to implement the Fan Noise function?,"Refer to patch: FanNoise

"
115,"MS WHQL test item failed.
    System Audio - KS Position Test failed","If you update SMU version to 4.69.48.0 and later please make sure below pcd value=0 to fix audio WHLK testing fail issue. The formal change as also below will be implemented into PI1005.
"
116,App Load Default Feature,Refer to patch: AppLoadDefault
117,App Load Default ?,Refer to patch: AppLoadDefault
118,Add Armor feature,Refer to patch: Armor
119,Change Logo,Refer to patch: ChangeLogo
120,AGPIO85 GPIO Pin have Floating status,"Modify the code:
Smu13FeaturesEnable.h FEATURE_FAN_CONTROLLER_BIT set 0,
PcdMapping
    Name  = ""PcdPublicFanControlEnable""
    GuidSpace  = ""gEfiAmdAgesaPkgTokenSpaceGuid""
    PcdType  = ""PcdsDynamicDefault""
    DataType  = ""Boolean""
    Value  = ""FALSE""
    Offset  = 00h
    Length  = 01h
    TargetDSC = Yes
End"
121,Why agpio85 function can not work? ,"Modify the code:
Smu13FeaturesEnable.h FEATURE_FAN_CONTROLLER_BIT set 0,
PcdMapping
    Name  = ""PcdPublicFanControlEnable""
    GuidSpace  = ""gEfiAmdAgesaPkgTokenSpaceGuid""
    PcdType  = ""PcdsDynamicDefault""
    DataType  = ""Boolean""
    Value  = ""FALSE""
    Offset  = 00h
    Length  = 01h
    TargetDSC = Yes
End"
122,"Set the OS brightness to 0%, and the measured panel brightness must be 13 cd/m².","AC918 Project requires adjusting the following code:

AMD_CPM_DISPLAY_FEATURE_TABLE gCpmDisplayFeatureTable
→ ① Minimum Signal
→ ② First Lumi/Signal

① and ② cannot be equal → If they are the same, the brightness setting becomes invalid, resulting in the darkest display"
123,"Why can't the BIOS be rolled back to an older version
 after flashing?","The root cause is the increase in PROJECT_MINOR_VERSION.
Here is the modified code:
TOKEN
    Name  = ""IGNORE_IMAGE_ROLLBACK""
    Value  = ""1""
    Help  = ""When enabled, FW Capsule Validate logic will skip image Revision.""
    TokenType = Boolean
    TargetH = Yes
End"
124,Panel initial boot brightness adjustment,"TOKEN
    Name  = ""AMD_GOP_PLATFORMTODRIVER_SUPPORT""
    Value  = ""1""
    Help  = ""Please turn on if you need GOP platform to drivers""
    TokenType = Boolean
    TargetH = Yes
End
Here is the modified code:
    #define GNB_ONEOF_PLATFORMTODRIVER_LCD_BOOTUP_BL_LEVEL\
        numeric varid = SETUP_DATA.AmdGopLcdBootUpBlLevel, \
            prompt = STRING_TOKEN(STR_GOP_BOOTUP_LEVEL), \
            help = STRING_TOKEN(STR_GOP_BOOTUP_LEVEL_HELP), \
	    	flags = RESET_REQUIRED,\
            minimum = 0x0, \
            maximum = 0xff, \
            step = 1, \
            default = 0xff,\
            default = 0xff, defaultstore = AmiMfgDefault,\
        endnumeric;"
125,Avoid system reset when booting into windows on debug mode enable,"Causing by lib, remove unused lib, it's passed"
126,Windows boot manager disappear when doing OS reboot.,Update EFI OS name module to V19
127,"MS WHQL test item failed
HLK test fail ""BitLocker Tpm And Recovery Password 
tests for AOAC devices with PCR[7]""",refert to EIP700163.7z
128,System hangs during bring-up,"AmdCpmOemInitPeim.c / AmdPbsHii.vfr
KBC supporyt 0
EC Support 0"
129,Bring up?,"AmdCpmOemInitPeim.c / AmdPbsHii.vfr
KBC supporyt 0
EC Support 0"
130,"Reduce PCIe SSD read and write performance in 
battery mode.","Example Code for Modification-->
CRB default:
     AmdCpmOemTable.c or Project_Gpio_Table.h 
      PORT_PARAM (PP_PSPP_DC, 0x122)     //DC_DirectIndirect[11:8], DC_MaxPreferredSpeed[7:4], DC_MinPreferredSpeed[3:0]
Modify:
      AmdCpmOemTable.c or Project_Gpio_Table.h 
      PORT_PARAM (PP_PSPP_DC, 0x133)     //DC_DirectIndirect[11:8], DC_MaxPreferredSpeed[7:4], DC_MinPreferredSpeed[3:0]"
131,How to adjust pcie ssd speed? ,"CRB default:
     AmdCpmOemTable.c or Project_Gpio_Table.h 
      PORT_PARAM (PP_PSPP_DC, 0x122)     //DC_DirectIndirect[11:8], DC_MaxPreferredSpeed[7:4], DC_MinPreferredSpeed[3:0]
Modify:
      AmdCpmOemTable.c or Project_Gpio_Table.h 
      PORT_PARAM (PP_PSPP_DC, 0x133)     //DC_DirectIndirect[11:8], DC_MaxPreferredSpeed[7:4], DC_MinPreferredSpeed[3:0]"
132,"Why does disabling AMD_PSP_ROM_ARMOR3_SMM_SUPPORT
 cause the system to hang?","Here is the modified code:
TOKEN
    Name  = ""AMD_PSP_ROM_ARMOR3_SMM_SUPPORT""
    Value  = ""0""
    Help  = ""Main switch to enable AmdPspRomArmorSmm support in Project""
    TokenType = Boolean
    TargetH = Yes
End

PcdMapping
    Name  = ""PcdAmdPspRomArmorSelection""
    GuidSpace  = ""gEfiAmdAgesaPkgTokenSpaceGuid""
    PcdType  = ""PcdsDynamicDefault""
    Value  = ""0""
    TargetDSC = Yes
    Token = ""AMD_PSP_ROM_ARMOR3_SMM_SUPPORT"" ""="" ""0""
End"
133,How to disable ARMOR3? ,"TOKEN
    Name  = ""AMD_PSP_ROM_ARMOR3_SMM_SUPPORT""
    Value  = ""0""
    Help  = ""Main switch to enable AmdPspRomArmorSmm support in Project""
    TokenType = Boolean
    TargetH = Yes
End

PcdMapping
    Name  = ""PcdAmdPspRomArmorSelection""
    GuidSpace  = ""gEfiAmdAgesaPkgTokenSpaceGuid""
    PcdType  = ""PcdsDynamicDefault""
    Value  = ""0""
    TargetDSC = Yes
    Token = ""AMD_PSP_ROM_ARMOR3_SMM_SUPPORT"" ""="" ""0""
End"
134,How to fix the AMD_PSP_ROM_ARMOR3_SMM_SUPPORT?,"TOKEN
    Name  = ""AMD_PSP_ROM_ARMOR3_SMM_SUPPORT""
    Value  = ""0""
    Help  = ""Main switch to enable AmdPspRomArmorSmm support in Project""
    TokenType = Boolean
    TargetH = Yes
End

PcdMapping
    Name  = ""PcdAmdPspRomArmorSelection""
    GuidSpace  = ""gEfiAmdAgesaPkgTokenSpaceGuid""
    PcdType  = ""PcdsDynamicDefault""
    Value  = ""0""
    TargetDSC = Yes
    Token = ""AMD_PSP_ROM_ARMOR3_SMM_SUPPORT"" ""="" ""0""
End"
135,Dynamically change the VGA SSID by CPU brand name during the boot process.,"Example Code for Modification-->
AsmCpuid (0x80000002, NULL, NULL, NULL, &RegEdx); //R'one 
  if (  ((RegEdx & 0xFFFFFFFF) == 0x30303435) |  ((RegEdx & 0xFFFFFFFF) == 0x30303635) |    ((RegEdx & 0xFFFFFFFF) == 0x30303835)   ){ //CZN? (Modify to meet)   // 5400,5600,5800 CPU
      Value = 0x12072782; //-->(Fill your SSID_
  }else{
      Value = PcdGet32 (PcdAmdCfgGnbIGPUSSID);  
  }"
136,"The VGA registry in the OS related to SmartMuxAX 1.5
 registers.","The related path and registry keys are as follows.
Path:
    Computer\HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000
    Computer\HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0001

Test APU/dGPU:
DalMpVisualConfirm =A

Driver simulation:
DalFeatureSmartMuxSupport=2
KMD_SmartMuxSupported=1
KMD_SmartMuxDefaultMode=1"
137,"Triggering an NMI causes the system to experience a
 BSOD for debugging purposes.",Please refer to the code in the file NmiBsodStudy.zip
138,"Why can't the eDP display on the AMD CPU + AMD 
GPU platform?","Here is the modified code:
TOKEN
    Name  = ""GNB_ForceIgdDisplay_SUPPORT""
    Value  = ""1""
    Help  = ""Main switch for Force IGD display function support for Navi14 dGPU with EEPROM (legacy VBIOS only)""
    TokenType = Boolean
    TargetH = Yes
End"
139,"How can we improve the HDMI 2.0 output display
 failure?","Root Cause:
The hardware does not provide sufficient capability to 
achieve 6 Gbps performance. To improve stability, the specification needs to be downgraded.  
 Purpose: HDMI2.0 6GBPS disable
     HDMI connect on DP1 port 
     AmdPbsConfiguration->AdjustDdi1  = 1; 
     AmdPbsConfiguration->DP1DisplayCaps   = 0x200;"
140,How to improve HDMI output failure?  ,"To improve HDMI output failure, the purpose is to disable HDMI2.0 6GBPS. The solution involves setting AmdPbsConfiguration->AdjustDdi1 to 1 and AmdPbsConfiguration->DP1DisplayCaps to 0x200 when HDMI is connected on the DP1 port."
141,Workaround-ADATA M.2 SSD 512GB Device Lose,"   Purpose:Disable SSD0 /SSD1 ASPM support
      DxioAspmDisabled,                           // DxioAspmL0sL1, // ASPM
      DxioAspmL11Disabled,                   // ASPM L1.1 
      DxioAspmL12Disabled,                   // ASPM L1.2"
142,How to fix ssd device lose?,"   Purpose:Disable SSD0 /SSD1 ASPM support
      DxioAspmDisabled,                           // DxioAspmL0sL1, // ASPM
      DxioAspmL11Disabled,                   // ASPM L1.1 
      DxioAspmL12Disabled,                   // ASPM L1.2"
143,Workaround-ADATA M.2 SSD 512GB Device Lose?,"   Purpose:Disable SSD0 /SSD1 ASPM support
      DxioAspmDisabled,                           // DxioAspmL0sL1, // ASPM
      DxioAspmL11Disabled,                   // ASPM L1.1 
      DxioAspmL12Disabled,                   // ASPM L1.2"
144,AMI SCEWIN_64 change password function,"TSE tokens RT_ACCESS_SUPPORT_IN_HPKTOOL and
RT_ACCESS_FOR_EFIVARSTORE must be enabled"
145,SMBIOS for MTK device,Refer to patch: SmbiosforMtk
146,"Add the OKEC flag to the thermal device to 
avoid issues when the EC is not ready.",Please refer to the code in the file Thermal device add OKEC flag avoid EC not  ready
